Weight vector: [[ 0.90032473  0.78604619  0.85077613  1.29870263  0.1298506   1.57192678
   0.99844888 -0.01520158]]
Learning rate: 0.75
Step	Cost
1211	[14.99008723]
1212	[14.99006129]
1213	[14.99003544]
1214	[14.99000968]
1215	[14.98998399]
1216	[14.98995838]
1217	[14.98993286]
1218	[14.98990742]
1219	[14.98988206]
1220	[14.98985678]
1221	[14.98983158]
1222	[14.98980646]
1223	[14.98978142]
1224	[14.98975646]
1225	[14.98973158]
1226	[14.98970678]
1227	[14.98968206]
1228	[14.98965742]
1229	[14.98963285]
1230	[14.98960836]
1231	[14.98958396]
1232	[14.98955963]
1233	[14.98953537]
1234	[14.9895112]
1235	[14.9894871]
1236	[14.98946308]
1237	[14.98943913]
1238	[14.98941526]
1239	[14.98939147]
1240	[14.98936775]
1241	[14.98934411]
1242	[14.98932054]
1243	[14.98929705]
1244	[14.98927363]
1245	[14.98925029]
1246	[14.98922702]
1247	[14.98920383]
1248	[14.98918071]
1249	[14.98915766]
1250	[14.98913469]
1251	[14.98911179]
1252	[14.98908896]
1253	[14.98906621]
1254	[14.98904352]
1255	[14.98902091]
1256	[14.98899838]
1257	[14.98897591]
1258	[14.98895352]
1259	[14.98893119]
1260	[14.98890894]
1261	[14.98888676]
1262	[14.98886465]
1263	[14.98884261]
1264	[14.98882064]
1265	[14.98879874]
1266	[14.98877691]
1267	[14.98875515]
1268	[14.98873346]
1269	[14.98871184]
1270	[14.98869028]
1271	[14.9886688]
1272	[14.98864738]
1273	[14.98862603]
1274	[14.98860475]
1275	[14.98858354]
1276	[14.9885624]
1277	[14.98854132]
1278	[14.98852031]
1279	[14.98849936]
1280	[14.98847849]
1281	[14.98845768]
1282	[14.98843693]
1283	[14.98841626]
1284	[14.98839564]
1285	[14.9883751]
1286	[14.98835462]
1287	[14.9883342]
1288	[14.98831385]
1289	[14.98829356]
1290	[14.98827334]
1291	[14.98825318]
1292	[14.98823309]
1293	[14.98821306]
1294	[14.9881931]
1295	[14.9881732]
1296	[14.98815336]
1297	[14.98813358]
1298	[14.98811387]
1299	[14.98809422]
1300	[14.98807464]
1301	[14.98805511]
1302	[14.98803565]
1303	[14.98801625]
1304	[14.98799691]
1305	[14.98797763]
1306	[14.98795842]
1307	[14.98793927]
1308	[14.98792017]
1309	[14.98790114]
1310	[14.98788217]
1311	[14.98786326]
1312	[14.98784441]
1313	[14.98782561]
1314	[14.98780688]
1315	[14.98778821]
1316	[14.9877696]
1317	[14.98775105]
1318	[14.98773255]
1319	[14.98771412]
1320	[14.98769574]
